id,label,gender,profession,ideology_binary,ideology_multiclass,tweet
14755,@user206,female,journalist,left,moderate_left,"En unos minutos adelantaremos en @user imágenes inéditas de Francisco Camps, procesado esta semana por adjudicaciones irregulares a El Bigotes. Todo, mañana a las 17:50, en @user."
31904,@user137,female,politician,left,moderate_left,"Vacunar, vacunar y vacunar. Ese es el gran objetivo. Ayer nuevo récord de pinchazos: 654.232 dosis administradas. Gracias a la fortaleza de nuestro Sistema Nacional de Salud y al excelente trabajo de nuestros profesionales sanitarios lo estamos consiguiendo. . #YoMeVacunoSeguro"
45517,@user180,male,journalist,right,moderate_right,"Me voy para @user. Hoy no hay programa pero es que tengo dentro de mí un no sé qué que qué sé yo, una especie de sí es no es, no sé si me explico. Entro al plató vacío, lo huelo y me vuelvo para casa."
11015,@user290,male,politician,left,left,"Vivimos en un país en el 12 mill y medio de personas están en riesgo de pobreza y exclusión social. En el Día Internacional para la Erradicación de la Pobreza conviene recordar nuestro compromiso para proteger a estas personas, cristalizado en forma de Prop.Ley en el Congreso."
25991,@user228,male,politician,right,moderate_right,"En casa de la VP Rivera no les gusta q se hable del precio de la luz. En el Senado hoy es incapaz de contestar a Floriano por qué las medidas del gobierno son inútiles para bajar el precio de la luz, y provocan q se importe nuclear francesa mientras cierran el sol y el viento"
46770,@user37,male,politician,left,moderate_left,"Han tardado con el recuento pero al final Joe Biden y Kamala Harris no sólo han sido los que más votos han obtenido -los más votados de la historia de Estados Unidos- sino que han alcanzado los 270 votos del colegio electoral lo que significa que Biden será Presidente y Trump, no"
37111,@user439,female,politician,left,left,"Ver a Casado y Rivera discutir sobre quién puede dar más lecciones al otro con la corrupción, cuando el primero es del partido de la Gürtel, Lezo, Púnica, y el segundo el que no ha tenido otra función que sostener al primero, es una lección de cinismo como pocas #DebateElectoral"
19076,@user226,female,politician,right,moderate_right,@user Porque la propuesta que ha hecho el Gobierno es la que tiene la mayoría parlamentaria y es una propuesta de 6 meses. (!Ni q la propuesta fuera del [POLITICAL_PARTY]!). Claro q lo necesario y ajustado a derecho es un traje a medida para este EdA llevado al Congreso cada 15 días.
25325,@user325,female,politician,left,moderate_left,A punto de iniciar el pleno de sesión de control al Gobierno y de debate y votación de la prórroga del Estado de Alarma y del Real Decreto por el que se aprueban medidas de apoyo al sector cultural y de carácter tributario para hacer frente a las consecuencias de la pandemia.
45175,@user220,male,politician,left,moderate_left,Socialismo es toda manera de pensar que tiende a la ordenación de la vida colectiva bajo la norma de la justicia y de la negación de privilegios.Socialismo es la organización del trabajo y de la participación en lo producido que haga posible la libertad de todas las personas.2019
